,Fight_Id,Win/No Contest/Draw,Fighter_1,Fighter_2,KD_1,KD_2,STR_1,STR_2,TD_1,TD_2,SUB_1,SUB_2,Weight_Class,Method,Round,Fight_Time,Event_Id,f1_wins,f1_losses,f1_height,f1_weight,f1_reach,f1_stance,f1_age,f1_SLpM,f1_sig_str_acc,f1_SApM,f1_str_def,f1_td_avg,f1_td_acc,f1_td_def,f1_sub_avg,f2_wins,f2_losses,f2_height,f2_weight,f2_reach,f2_stance,f2_age,f2_SLpM,f2_sig_str_acc,f2_SApM,f2_str_def,f2_td_avg,f2_td_acc,f2_td_def,f2_sub_avg,reach_diff,age_diff,height_diff,sig_str_diff,td_def_diff,td_avg_diff,f1_win_rate,f2_win_rate,win_rate_diff
1,cdd565a16975c711,win,Mike Malott,Kevin Holland,0.0,0.0,49.0,52.0,1.0,1.0,1.0,0.0,Welterweight,U-DEC,3,300,38e5d9dcb0fddc42,10.0,2.0,185.42,77.11,185.42,Orthodox,32.0,3.83,0.46,3.33,0.52,3.04,0.6,0.16,1.0,25.0,11.0,190.5,77.11,205.74,Orthodox,31.0,4.24,0.49,3.19,0.5,0.85,0.38,0.54,0.6,-20.32000000000002,1.0,-5.0800000000000125,-0.02999999999999997,-0.38,2.19,0.8333333333333334,0.6944444444444444,0.13888888888888895
2,857d274e47aa8c4e,win,Aiemann Zahabi,Marlon Vera,0.0,1.0,81.0,56.0,0.0,0.0,0.0,0.0,Bantamweight,S-DEC,3,300,38e5d9dcb0fddc42,11.0,2.0,172.72,61.23,172.72,Orthodox,36.0,3.43,0.43,3.61,0.71,0.2,0.16,0.79,0.0,23.0,9.0,172.72,61.23,177.8,Switch,31.0,4.31,0.49,5.48,0.5,0.53,0.39,0.7,0.9,-5.0800000000000125,5.0,0.0,-0.06,0.09000000000000008,-0.33,0.8461538461538461,0.71875,0.12740384615384615
3,c82acd7b17915591,win,Manon Fiorot,Jasmine Jasudavicius,0.0,0.0,16.0,2.0,0.0,0.0,0.0,0.0,Women's Flyweight,KO/TKO Punches,1,74,38e5d9dcb0fddc42,11.0,1.0,170.18,56.7,165.1,Orthodox,34.0,6.05,0.39,3.31,0.69,1.36,0.46,0.91,0.0,10.0,3.0,170.18,56.7,172.72,Orthodox,35.0,3.95,0.45,4.03,0.51,2.16,0.37,0.8,0.4,-7.6200000000000045,-1.0,0.0,-0.06,0.10999999999999999,-0.8,0.9166666666666666,0.7692307692307693,0.14743589743589736
4,a18edcb638ba7e39,win,Charles Jourdain,Davey Grant,1.0,0.0,25.0,9.0,0.0,0.0,1.0,0.0,Bantamweight,SUB Guillotine Choke,1,185,38e5d9dcb0fddc42,15.0,7.0,175.26,65.77,175.26,Switch,28.0,5.56,0.48,4.31,0.57,0.09,0.1,0.48,0.6,15.0,7.0,172.72,61.23,175.26,Orthodox,38.0,4.77,0.42,3.82,0.55,1.26,0.41,0.61,0.2,0.0,-10.0,2.539999999999992,0.06,-0.13,-1.17,0.6818181818181818,0.6818181818181818,0.0
5,3af1bdc5a510bba9,win,Kyle Nelson,Matt Frevola,1.0,0.0,63.0,43.0,2.0,2.0,0.0,0.0,Lightweight,U-DEC,3,300,38e5d9dcb0fddc42,15.0,5.0,180.34,65.77,180.34,Switch,32.0,3.46,0.44,4.56,0.52,1.15,0.2,0.73,0.7,11.0,4.0,175.26,70.31,180.34,Orthodox,33.0,3.71,0.42,3.57,0.59,2.59,0.4,0.42,0.9,0.0,-1.0,5.0800000000000125,0.020000000000000018,0.31,-1.44,0.75,0.7333333333333333,0.01666666666666672
6,ecdbb3a5216b815e,win,Drew Dober,Kyle Prepolec,0.0,0.0,83.0,51.0,0.0,0.0,0.0,0.0,Lightweight,KO/TKO Punches,3,76,38e5d9dcb0fddc42,27.0,13.0,172.72,70.31,177.8,Southpaw,35.0,4.34,0.4,4.23,0.51,0.71,0.18,0.56,0.1,12.0,7.0,177.8,77.11,177.8,Southpaw,34.0,3.2,0.34,4.7,0.54,0.0,0.0,0.4,0.0,0.0,1.0,-5.0800000000000125,0.06,0.16000000000000003,0.71,0.675,0.631578947368421,0.04342105263157903
7,970f083af8368f57,win,Aoriqileng,Cody Gibson,1.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,Bantamweight,KO/TKO Punch,1,21,38e5d9dcb0fddc42,25.0,10.0,170.18,61.23,175.26,Orthodox,30.0,5.31,0.5,6.03,0.47,1.45,0.46,0.58,0.0,20.0,10.0,177.8,61.23,180.34,Orthodox,36.0,4.0,0.43,4.08,0.57,1.28,0.28,0.68,0.2,-5.0800000000000125,-6.0,-7.6200000000000045,0.07,-0.10000000000000009,0.16999999999999993,0.7142857142857143,0.6666666666666666,0.04761904761904767
8,668a44403a130043,win,Bruno Silva,HyunSung Park,1.0,0.0,46.0,31.0,5.0,1.0,1.0,0.0,Flyweight,SUB Rear Naked Choke,3,135,38e5d9dcb0fddc42,23.0,10.0,182.88,83.91,187.96,Orthodox,34.0,4.43,0.51,5.33,0.43,1.09,0.27,0.73,0.0,9.0,0.0,170.18,56.7,167.64,Orthodox,28.0,4.15,0.44,3.43,0.59,1.54,0.27,1.0,2.6,20.32000000000002,6.0,12.699999999999989,0.07,-0.27,-0.44999999999999996,0.696969696969697,1.0,-0.303030303030303
9,668a44403a130043,win,Bruno Silva,HyunSung Park,1.0,0.0,46.0,31.0,5.0,1.0,1.0,0.0,Flyweight,SUB Rear Naked Choke,3,135,38e5d9dcb0fddc42,13.0,5.0,162.56,56.7,165.1,Orthodox,34.0,3.05,0.46,3.09,0.59,2.57,0.3,0.64,0.3,9.0,0.0,170.18,56.7,167.64,Orthodox,28.0,4.15,0.44,3.43,0.59,1.54,0.27,1.0,2.6,-2.539999999999992,6.0,-7.6200000000000045,0.020000000000000018,-0.36,1.0299999999999998,0.7222222222222222,1.0,-0.2777777777777778
14,79865287be90e4be,win,Charles Oliveira,Mateusz Gamrot,0.0,0.0,11.0,18.0,1.0,1.0,1.0,0.0,Lightweight,SUB Rear Naked Choke,2,168,9336e86cfd4ceaa1,34.0,9.0,177.8,70.31,187.96,Orthodox,34.0,3.54,0.53,3.19,0.51,2.32,0.4,0.55,2.7,24.0,2.0,177.8,70.31,177.8,Southpaw,33.0,3.09,0.51,3.07,0.59,5.28,0.35,0.9,0.1,10.159999999999997,1.0,0.0,0.020000000000000018,-0.35,-2.9600000000000004,0.7906976744186046,0.9230769230769231,-0.13237924865831852
15,f295eb2a7b0ba4b7,win,Deiveson Figueiredo,Montel Jackson,0.0,0.0,23.0,30.0,2.0,1.0,0.0,0.0,Bantamweight,S-DEC,3,300,9336e86cfd4ceaa1,22.0,3.0,165.1,61.23,172.72,Orthodox,36.0,3.08,0.55,3.46,0.51,1.65,0.44,0.58,1.6,13.0,2.0,177.8,61.23,190.5,Southpaw,31.0,3.36,0.53,1.41,0.64,3.42,0.71,0.69,0.3,-17.78,5.0,-12.700000000000017,0.020000000000000018,-0.10999999999999999,-1.77,0.88,0.8666666666666667,0.013333333333333308
16,6188b7fb3f8daacc,win,Joel Alvarez,Vicente Luque,0.0,0.0,89.0,30.0,1.0,0.0,1.0,0.0,Welterweight,U-DEC,3,300,9336e86cfd4ceaa1,20.0,3.0,190.5,70.31,195.58,Orthodox,31.0,3.65,0.46,3.37,0.5,0.0,0.0,0.11,1.3,22.0,9.0,180.34,77.11,190.5,Orthodox,32.0,5.17,0.52,5.15,0.52,1.04,0.6,0.62,0.7,5.0800000000000125,-1.0,10.159999999999997,-0.06,-0.51,-1.04,0.8695652173913043,0.7096774193548387,0.15988779803646558
20,766b0b26c40525de,win,Jafel Filho,Clayton Carpenter,0.0,0.0,5.0,7.0,1.0,0.0,1.0,0.0,Flyweight,SUB Kimura,1,282,9336e86cfd4ceaa1,16.0,3.0,170.18,56.7,172.72,Orthodox,30.0,2.36,0.41,2.0,0.47,1.77,0.33,0.55,2.6,7.0,0.0,167.64,56.7,167.64,Orthodox,27.0,4.5,0.51,2.85,0.6,2.47,0.5,0.0,2.5,5.0800000000000125,3.0,2.5400000000000205,-0.10000000000000003,0.55,-0.7000000000000002,0.8421052631578947,1.0,-0.1578947368421053
21,a815dafc89adf33b,win,Vitor Petrino,Thomas Petersen,2.0,0.0,31.0,16.0,1.0,0.0,0.0,0.0,Heavyweight,KO/TKO Punch,3,26,9336e86cfd4ceaa1,11.0,0.0,187.96,92.99,195.58,Orthodox,26.0,2.74,0.45,2.49,0.45,3.86,0.68,0.71,0.8,8.0,2.0,185.42,119.75,187.96,Southpaw,28.0,3.79,0.68,3.79,0.46,2.84,0.44,1.0,0.7,7.6200000000000045,-2.0,2.5400000000000205,-0.23000000000000004,-0.29000000000000004,1.02,1.0,0.8,0.19999999999999996
25,0f9e7d0d04e24b74,win,Luan Lacerda,Saimon Oliveira,0.0,0.0,24.0,21.0,3.0,1.0,1.0,0.0,Bantamweight,SUB Armbar,2,235,9336e86cfd4ceaa1,12.0,3.0,170.18,61.23,180.34,Orthodox,31.0,4.52,0.44,7.07,0.47,1.26,0.25,0.75,0.6,18.0,5.0,162.56,61.23,182.88,Orthodox,32.0,2.82,0.41,3.91,0.48,1.21,0.25,0.35,1.6,-2.539999999999992,-1.0,7.6200000000000045,0.030000000000000027,0.4,0.050000000000000044,0.8,0.782608695652174,0.017391304347826098
26,0de1ef0b9f3a79c0,win,Alex Pereira,Magomed Ankalaev,0.0,0.0,28.0,4.0,0.0,0.0,0.0,0.0,Light Heavyweight,KO/TKO Elbows,1,80,8944a0f9b2f0ce6d,9.0,2.0,193.04,92.99,200.66,Orthodox,36.0,5.0,0.62,3.65,0.5,0.19,1.0,0.7,0.4,19.0,1.0,190.5,92.99,190.5,Orthodox,31.0,3.64,0.53,2.25,0.59,1.02,0.31,0.86,0.0,10.159999999999997,5.0,2.539999999999992,0.08999999999999997,-0.16000000000000003,-0.8300000000000001,0.8181818181818182,0.95,-0.13181818181818172
27,a8511df8285f5c91,win,Merab Dvalishvili,Cory Sandhagen,0.0,0.0,114.0,80.0,20.0,0.0,0.0,0.0,Bantamweight,U-DEC,5,300,8944a0f9b2f0ce6d,17.0,4.0,167.64,61.23,172.72,Orthodox,33.0,4.5,0.41,2.37,0.57,6.43,0.36,0.8,0.3,17.0,4.0,180.34,61.23,177.8,Switch,31.0,5.33,0.44,3.4,0.58,1.36,0.33,0.64,0.3,-5.0800000000000125,2.0,-12.700000000000017,-0.030000000000000027,0.16000000000000003,5.069999999999999,0.8095238095238095,0.8095238095238095,0.0
28,2560ea97b2cce4ef,win,Jiri Prochazka,Khalil Rountree Jr.,1.0,0.0,71.0,66.0,0.0,0.0,0.0,0.0,Light Heavyweight,KO/TKO Punches,3,184,8944a0f9b2f0ce6d,29.0,4.0,190.5,92.99,203.2,Orthodox,31.0,5.31,0.55,5.17,0.4,0.61,0.5,0.68,0.3,14.0,5.0,185.42,92.99,193.04,Southpaw,34.0,3.84,0.39,4.18,0.5,0.0,0.0,0.58,0.1,10.159999999999997,-3.0,5.0800000000000125,0.16000000000000003,0.10000000000000009,0.61,0.8787878787878788,0.7368421052631579,0.14194577352472093
29,84ebd144d5e79c88,win,Youssef Zalal,Josh Emmett,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,Featherweight,SUB Armbar,1,98,8944a0f9b2f0ce6d,14.0,5.0,177.8,65.77,182.88,Switch,27.0,2.88,0.49,1.73,0.65,2.28,0.34,0.6,1.3,19.0,4.0,167.64,65.77,177.8,Orthodox,39.0,4.04,0.36,4.61,0.61,0.91,0.37,0.46,0.1,5.079999999999984,-12.0,10.160000000000025,0.13,0.13999999999999996,1.3699999999999997,0.7368421052631579,0.8260869565217391,-0.08924485125858128
30,d006dd2513bd376d,win,Joe Pyfer,Abus Magomedov,1.0,0.0,6.0,11.0,0.0,1.0,2.0,1.0,Middleweight,SUB Rear Naked Choke,2,106,8944a0f9b2f0ce6d,12.0,3.0,187.96,83.91,190.5,Orthodox,27.0,3.66,0.4,3.58,0.51,1.49,0.41,0.5,0.9,25.0,6.0,187.96,83.91,198.12,Orthodox,33.0,3.73,0.42,5.36,0.54,0.61,0.5,1.0,0.0,-7.6200000000000045,-6.0,0.0,-0.019999999999999962,-0.5,0.88,0.8,0.8064516129032258,-0.006451612903225712
34,1c7cc3a22ab7d907,win,Edmen Shahbazyan,Andre Muniz,1.0,0.0,25.0,15.0,0.0,1.0,0.0,0.0,Middleweight,KO/TKO Elbows,1,298,8944a0f9b2f0ce6d,13.0,4.0,187.96,83.91,190.5,Orthodox,26.0,3.6,0.52,4.09,0.45,2.24,0.38,0.63,0.6,24.0,6.0,185.42,83.91,198.12,Southpaw,34.0,1.97,0.5,1.99,0.54,4.23,0.5,0.35,1.2,-7.6200000000000045,-8.0,2.5400000000000205,0.020000000000000018,0.28,-1.9900000000000002,0.7647058823529411,0.8,-0.03529411764705892
36,8353b491afa7bc32,win,Yana Santos,Macy Chiasson,0.0,0.0,65.0,54.0,0.0,2.0,0.0,1.0,Women's Bantamweight,U-DEC,3,300,8944a0f9b2f0ce6d,14.0,8.0,167.64,61.23,172.72,Orthodox,34.0,4.16,0.56,3.03,0.5,1.11,0.53,0.42,0.1,10.0,3.0,180.34,61.23,182.88,Orthodox,32.0,3.53,0.44,2.53,0.46,2.38,0.37,0.62,0.5,-10.159999999999997,2.0,-12.700000000000017,0.12000000000000005,-0.2,-1.2699999999999998,0.6363636363636364,0.7692307692307693,-0.13286713286713292
37,e53fd165a3bc1f8e,win,Farid Basharat,Chris Gutierrez,0.0,0.0,41.0,31.0,2.0,1.0,0.0,0.0,Bantamweight,U-DEC,3,300,8944a0f9b2f0ce6d,12.0,0.0,172.72,61.23,180.34,Orthodox,26.0,4.47,0.58,2.44,0.57,3.96,0.41,0.83,0.6,20.0,6.0,175.26,61.23,170.18,Orthodox,32.0,4.8,0.58,2.79,0.63,0.28,0.3,0.69,0.1,10.159999999999997,-6.0,-2.539999999999992,0.0,0.14,3.6799999999999997,1.0,0.7692307692307693,0.23076923076923073
39,98883348ddb3be33,win,Veronica Hardy,Brogan Walker,1.0,0.0,39.0,22.0,0.0,3.0,1.0,0.0,Women's Flyweight,U-DEC,3,300,8944a0f9b2f0ce6d,8.0,4.0,162.56,56.7,162.56,Southpaw,28.0,3.27,0.45,4.1,0.46,1.27,0.41,0.57,0.4,8.0,4.0,162.56,56.7,170.18,Switch,35.0,2.04,0.3,3.7,0.47,0.0,0.0,0.11,0.0,-7.6200000000000045,-7.0,0.0,0.15000000000000002,0.45999999999999996,1.27,0.6666666666666666,0.6666666666666666,0.0
40,a3ee907c77544cde,win,Carlos Ulberg,Dominick Reyes,1.0,0.0,11.0,5.0,0.0,0.0,0.0,0.0,Light Heavyweight,KO/TKO Punches,1,267,ed220e87bef0cc64,10.0,1.0,193.04,92.99,195.58,Orthodox,33.0,7.29,0.59,3.59,0.52,0.95,0.75,0.75,0.3,12.0,4.0,193.04,92.99,195.58,Southpaw,34.0,4.75,0.5,3.77,0.48,0.36,0.28,0.8,0.4,0.0,-1.0,0.0,0.08999999999999997,-0.050000000000000044,0.59,0.9090909090909091,0.75,0.15909090909090906
42,38248c5d13f273e6,win,Jack Jenkins,Ramon Taveras,0.0,0.0,65.0,43.0,3.0,0.0,1.0,0.0,Featherweight,U-DEC,3,300,ed220e87bef0cc64,12.0,3.0,170.18,65.77,172.72,Switch,30.0,4.43,0.61,3.07,0.59,2.56,0.69,0.75,0.0,10.0,2.0,172.72,61.23,177.8,Southpaw,30.0,4.63,0.45,5.41,0.65,0.0,0.0,1.0,0.0,-5.0800000000000125,0.0,-2.539999999999992,0.15999999999999998,-0.25,2.56,0.8,0.8333333333333334,-0.033333333333333326
43,1ff24d5f760e0491,win,Neil Magny,Jake Matthews,0.0,0.0,31.0,18.0,3.0,0.0,1.0,3.0,Welterweight,SUB D'Arce Choke,3,188,ed220e87bef0cc64,29.0,12.0,190.5,77.11,203.2,Orthodox,36.0,3.47,0.46,2.42,0.52,2.17,0.4,0.54,0.3,19.0,7.0,180.34,77.11,185.42,Orthodox,29.0,3.3,0.45,2.56,0.6,1.59,0.4,0.62,0.6,17.78,7.0,10.159999999999997,0.010000000000000009,-0.07999999999999996,0.5799999999999998,0.7073170731707317,0.7307692307692307,-0.023452157598499057
44,8abad36b4c5e4070,win,Tom Nolan,Charlie Campbell,0.0,0.0,26.0,15.0,1.0,0.0,1.0,0.0,Lightweight,SUB Rear Naked Choke,1,248,ed220e87bef0cc64,6.0,1.0,190.5,70.31,185.42,Southpaw,24.0,10.27,0.56,9.45,0.47,0.0,0.0,0.0,0.0,8.0,2.0,182.88,70.31,182.88,Orthodox,28.0,11.03,0.54,5.42,0.6,0.0,0.0,1.0,0.0,2.539999999999992,-4.0,7.6200000000000045,0.020000000000000018,-1.0,0.0,0.8571428571428571,0.8,0.05714285714285705
47,e2dc4fb7b5c0ce76,win,Jamie Mullarkey,Rolando Bedoya,0.0,0.0,43.0,46.0,3.0,0.0,0.0,1.0,Lightweight,U-DEC,3,300,ed220e87bef0cc64,17.0,7.0,182.88,70.31,187.96,Orthodox,29.0,4.46,0.46,4.49,0.54,2.42,0.34,0.76,0.1,14.0,3.0,180.34,77.11,187.96,Orthodox,27.0,8.7,0.55,6.83,0.52,0.0,0.0,0.0,0.0,0.0,2.0,2.539999999999992,-0.09000000000000002,0.76,2.42,0.7083333333333334,0.8235294117647058,-0.11519607843137247
52,de1a3734be60e6a1,win,Diego Lopes,Jean Silva,1.0,0.0,74.0,43.0,3.0,0.0,0.0,0.0,Featherweight,KO/TKO Punches,2,288,5efaaf313b652dd7,23.0,6.0,180.34,65.77,182.88,Orthodox,29.0,2.47,0.53,4.91,0.37,0.0,0.0,0.42,5.3,12.0,2.0,170.18,65.77,175.26,Orthodox,27.0,5.83,0.52,4.27,0.57,1.56,0.5,1.0,0.0,7.6200000000000045,2.0,10.159999999999997,0.010000000000000009,-0.5800000000000001,-1.56,0.7931034482758621,0.8571428571428571,-0.064039408866995
54,7cbfeba85f86d1bf,win,Rafa Garcia,Jared Gordon,1.0,0.0,91.0,65.0,2.0,1.0,2.0,0.0,Lightweight,KO/TKO Elbows,3,147,5efaaf313b652dd7,16.0,3.0,170.18,70.31,177.8,Orthodox,29.0,4.19,0.42,4.21,0.61,3.61,0.44,0.79,0.3,20.0,6.0,175.26,70.31,172.72,Orthodox,35.0,5.39,0.57,3.4,0.57,1.95,0.4,0.62,0.0,5.0800000000000125,-6.0,-5.079999999999984,-0.14999999999999997,0.17000000000000004,1.66,0.8421052631578947,0.7692307692307693,0.07287449392712542
55,114d2f6fcd3f6f00,win,Kelvin Gastelum,Dustin Stoltzfus,1.0,0.0,57.0,64.0,0.0,1.0,0.0,0.0,Middleweight,U-DEC,3,300,5efaaf313b652dd7,18.0,9.0,175.26,77.11,180.34,Southpaw,32.0,3.55,0.41,3.23,0.58,0.96,0.3,0.59,0.1,15.0,5.0,182.88,83.91,190.5,Orthodox,32.0,3.49,0.44,3.29,0.48,2.4,0.4,0.46,0.7,-10.159999999999997,0.0,-7.6200000000000045,-0.030000000000000027,0.12999999999999995,-1.44,0.6666666666666666,0.75,-0.08333333333333337
56,202c47db69768356,win,Alexander Hernandez,Diego Ferreira,1.0,0.0,30.0,23.0,0.0,0.0,0.0,0.0,Lightweight,KO/TKO Punches,2,226,5efaaf313b652dd7,14.0,7.0,175.26,65.77,182.88,Orthodox,31.0,4.63,0.41,4.9,0.56,1.2,0.31,0.6,0.1,18.0,5.0,175.26,70.31,187.96,Orthodox,39.0,4.66,0.37,3.42,0.56,0.71,0.22,0.63,0.7,-5.0800000000000125,-8.0,0.0,0.03999999999999998,-0.030000000000000027,0.49,0.6666666666666666,0.782608695652174,-0.11594202898550732
59,352839a03b428e74,win,Joaquim Silva,Claudio Puelles,1.0,0.0,25.0,21.0,0.0,4.0,1.0,0.0,Lightweight,S-DEC,3,300,5efaaf313b652dd7,13.0,5.0,172.72,70.31,175.26,Southpaw,35.0,3.61,0.41,4.51,0.54,0.45,0.6,0.64,0.7,13.0,4.0,177.8,70.31,182.88,Southpaw,27.0,1.56,0.49,2.78,0.46,3.17,0.36,0.6,1.2,-7.6200000000000045,8.0,-5.0800000000000125,-0.08000000000000002,0.040000000000000036,-2.7199999999999998,0.7222222222222222,0.7647058823529411,-0.042483660130718914
60,9474f64347aade7a,win,Tatiana Suarez,Amanda Lemos,0.0,0.0,20.0,23.0,3.0,0.0,0.0,1.0,Women's Strawweight,U-DEC,3,300,5efaaf313b652dd7,11.0,0.0,165.1,52.16,167.64,Southpaw,33.0,4.27,0.63,1.38,0.51,6.2,0.61,1.0,0.9,14.0,3.0,162.56,52.16,165.1,Southpaw,36.0,3.43,0.54,4.21,0.44,0.98,0.63,0.57,0.7,2.539999999999992,-3.0,2.539999999999992,0.08999999999999997,0.43000000000000005,5.220000000000001,1.0,0.8235294117647058,0.17647058823529416
66,5bcd8abf6da01dae,win,Nassourdine Imavov,Caio Borralho,0.0,0.0,81.0,66.0,0.0,0.0,0.0,0.0,Middleweight,U-DEC,5,300,6e380a4d73ab4f0e,13.0,4.0,190.5,83.91,190.5,Orthodox,29.0,4.53,0.54,3.26,0.61,0.87,0.31,0.76,1.5,15.0,1.0,177.8,83.91,190.5,Southpaw,31.0,2.73,0.58,1.98,0.6,2.16,0.63,0.57,0.5,0.0,-2.0,12.699999999999989,-0.039999999999999925,0.19000000000000006,-1.29,0.7647058823529411,0.9375,-0.17279411764705888
68,0149e875b31e57f8,win,Modestas Bukauskas,Paul Craig,0.0,0.0,22.0,6.0,0.0,0.0,0.0,0.0,Light Heavyweight,KO/TKO Elbow,1,300,6e380a4d73ab4f0e,15.0,6.0,190.5,92.99,198.12,Switch,30.0,3.28,0.41,3.87,0.5,0.0,0.0,0.71,0.0,17.0,7.0,190.5,83.91,193.04,Orthodox,36.0,2.42,0.46,2.86,0.45,1.76,0.22,0.37,1.6,5.0800000000000125,-6.0,0.0,-0.050000000000000044,0.33999999999999997,-1.76,0.7142857142857143,0.7083333333333334,0.005952380952380931
69,69b31593175f77ec,win,Mason Jones,Bolaji Oki,1.0,1.0,57.0,38.0,2.0,0.0,1.0,0.0,Lightweight,KO/TKO Elbows,2,198,6e380a4d73ab4f0e,11.0,2.0,177.8,70.31,187.96,Orthodox,28.0,5.61,0.44,4.94,0.46,3.16,0.45,0.8,0.0,9.0,1.0,177.8,70.31,185.42,Orthodox,28.0,5.18,0.43,2.53,0.64,0.84,1.0,0.83,0.0,2.5400000000000205,0.0,0.0,0.010000000000000009,-0.029999999999999916,2.3200000000000003,0.8461538461538461,0.9,-0.05384615384615388
75,420211200a35c1d1,win,Sam Patterson,Trey Waters,0.0,0.0,25.0,18.0,0.0,0.0,0.0,0.0,Welterweight,KO/TKO Punches,1,181,6e380a4d73ab4f0e,11.0,2.0,190.5,70.31,198.12,Orthodox,27.0,2.54,0.38,3.41,0.49,1.19,1.0,0.33,3.6,8.0,1.0,195.58,77.11,195.58,Orthodox,29.0,6.45,0.45,3.95,0.61,0.78,0.5,0.77,0.8,2.539999999999992,-2.0,-5.0800000000000125,-0.07,-0.44,0.4099999999999999,0.8461538461538461,0.8888888888888888,-0.042735042735042694
76,b3253e2c2d111030,win,Robert Bryczek,Brad Tavares,1.0,0.0,68.0,42.0,1.0,1.0,0.0,0.0,Middleweight,KO/TKO Punches,3,103,6e380a4d73ab4f0e,17.0,6.0,182.88,83.91,190.5,Orthodox,33.0,2.13,0.24,4.47,0.6,0.0,0.0,1.0,0.0,20.0,10.0,185.42,83.91,187.96,Orthodox,36.0,3.38,0.43,3.15,0.55,0.78,0.26,0.81,0.0,2.539999999999992,-3.0,-2.539999999999992,-0.19,0.18999999999999995,-0.78,0.7391304347826086,0.6666666666666666,0.07246376811594202
78,a38010639e61885c,win,Sam Hughes,Shauna Bannon,0.0,0.0,21.0,13.0,2.0,0.0,1.0,0.0,Women's Strawweight,SUB Rear Naked Choke,2,118,6e380a4d73ab4f0e,8.0,6.0,165.1,52.16,162.56,Orthodox,31.0,4.03,0.45,4.51,0.56,0.96,0.3,0.57,0.0,5.0,1.0,165.1,52.16,165.1,Switch,30.0,3.6,0.37,3.73,0.37,0.0,0.0,0.33,0.0,-2.539999999999992,1.0,0.0,0.08000000000000002,0.23999999999999994,0.96,0.5714285714285714,0.8333333333333334,-0.261904761904762
79,2eecf0c36192e40c,win,Johnny Walker,Zhang Mingyang,1.0,0.0,50.0,20.0,0.0,0.0,0.0,0.0,Light Heavyweight,KO/TKO Punches,2,157,754968e325d6f60d,21.0,8.0,198.12,92.99,208.28,Orthodox,31.0,3.81,0.53,2.83,0.44,0.46,1.0,0.57,0.9,17.0,6.0,187.96,92.99,190.5,Orthodox,25.0,9.23,0.57,6.39,0.57,0.0,0.0,0.0,0.0,17.78,6.0,10.159999999999997,-0.039999999999999925,0.57,0.46,0.7241379310344828,0.7391304347826086,-0.014992503748125885
80,58080e8989927500,win,Aljamain Sterling,Brian Ortega,0.0,0.0,124.0,55.0,3.0,0.0,0.0,0.0,Catch Weight,U-DEC,5,300,754968e325d6f60d,23.0,4.0,170.18,65.77,180.34,Orthodox,34.0,4.73,0.52,2.41,0.58,1.97,0.24,0.45,0.8,16.0,3.0,172.72,65.77,175.26,Switch,33.0,4.07,0.38,6.54,0.49,1.17,0.27,0.57,1.2,5.0800000000000125,1.0,-2.539999999999992,0.14,-0.11999999999999994,0.8,0.8518518518518519,0.8421052631578947,0.00974658869395717
81,5538d15c4eeac3b3,win,Sergei Pavlovich,Waldo Cortes-Acosta,0.0,0.0,61.0,45.0,0.0,0.0,0.0,0.0,Heavyweight,U-DEC,3,300,754968e325d6f60d,18.0,2.0,190.5,116.57,213.36,Southpaw,31.0,8.21,0.48,4.61,0.55,0.0,0.0,0.75,0.0,11.0,1.0,193.04,117.93,198.12,Orthodox,32.0,6.13,0.47,4.02,0.52,0.0,0.0,0.6,0.0,15.240000000000009,-1.0,-2.539999999999992,0.010000000000000009,0.15000000000000002,0.0,0.9,0.9166666666666666,-0.016666666666666607
82,ce6bd165bef82bd7,win,Sumudaerji,Kevin Borjas,0.0,0.0,73.0,16.0,0.0,0.0,0.0,0.0,Flyweight,U-DEC,3,300,754968e325d6f60d,16.0,6.0,172.72,56.7,182.88,Southpaw,28.0,4.64,0.54,2.73,0.61,0.29,1.0,0.66,0.6,9.0,2.0,165.1,56.7,172.72,Orthodox,26.0,5.4,0.41,6.63,0.49,0.0,0.0,0.56,0.0,10.159999999999997,2.0,7.6200000000000045,0.13000000000000006,0.09999999999999998,0.29,0.7272727272727273,0.8181818181818182,-0.09090909090909094
86,f55749e32ce5c6f3,win,Rongzhu,Austin Hubbard,0.0,0.0,101.0,75.0,0.0,2.0,0.0,0.0,Lightweight,U-DEC,3,300,754968e325d6f60d,25.0,5.0,175.26,70.31,182.88,Orthodox,24.0,5.47,0.5,5.6,0.45,2.09,0.62,0.85,0.2,16.0,7.0,177.8,70.31,180.34,Orthodox,32.0,3.83,0.46,3.37,0.56,1.55,0.52,0.63,0.0,2.539999999999992,-8.0,-2.5400000000000205,0.03999999999999998,0.21999999999999997,0.5399999999999998,0.8333333333333334,0.6956521739130435,0.1376811594202899
87,130e622d4d2aee3e,win,Kyle Daukaus,Michel Pereira,1.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,Middleweight,KO/TKO Elbows,1,43,754968e325d6f60d,11.0,4.0,190.5,83.91,193.04,Southpaw,31.0,3.22,0.52,2.94,0.42,2.12,0.25,0.82,1.9,30.0,11.0,185.42,83.91,185.42,Orthodox,30.0,5.15,0.54,3.71,0.58,1.55,0.55,0.94,0.7,7.6200000000000045,1.0,5.0800000000000125,-0.020000000000000018,-0.12,0.5700000000000001,0.7333333333333333,0.7317073170731707,0.001626016260162566
