,Fight_Id,Win/No Contest/Draw,Fighter_1,Fighter_2,KD_1,KD_2,STR_1,STR_2,TD_1,TD_2,SUB_1,SUB_2,Weight_Class,Method,Round,Fight_Time,Event_Id,f1_wins,f1_losses,f1_height,f1_weight,f1_reach,f1_stance,f1_age,f1_SLpM,f1_sig_str_acc,f1_SApM,f1_str_def,f1_td_avg,f1_td_acc,f1_td_def,f1_sub_avg,f2_wins,f2_losses,f2_height,f2_weight,f2_reach,f2_stance,f2_age,f2_SLpM,f2_sig_str_acc,f2_SApM,f2_str_def,f2_td_avg,f2_td_acc,f2_td_def,f2_sub_avg,reach_diff,age_diff,height_diff,sig_str_diff,td_def_diff,td_avg_diff,f1_win_rate,f2_win_rate,win_rate_diff
2225,8151659b2bc16f0e,win,Daniel Rodriguez,Preston Parsons,0.0,0.0,45.0,23.0,0.0,0.0,0.0,0.0,Welterweight,KO/TKO Punches,1,227,40389d39a92f5bfa,17.0,4.0,185.42,77.11,187.96,Southpaw,37.0,7.3,0.5,5.28,0.56,0.62,0.5,0.63,0.1,11.0,4.0,180.34,77.11,180.34,Orthodox,28.0,3.83,0.55,3.18,0.51,4.3,0.43,0.8,3.1,7.6200000000000045,9.0,5.079999999999984,-0.050000000000000044,-0.17000000000000004,-3.6799999999999997,0.8095238095238095,0.7333333333333333,0.07619047619047625
2226,c5e71fbf22f669f7,win,Amanda Lemos,Montserrat Conejo Ruiz,1.0,0.0,7.0,3.0,0.0,0.0,0.0,0.0,Women's Strawweight,KO/TKO Punch,1,35,40389d39a92f5bfa,14.0,3.0,162.56,52.16,165.1,Southpaw,36.0,3.43,0.54,4.21,0.44,0.98,0.63,0.57,0.7,10.0,4.0,152.4,52.16,154.94,Southpaw,31.0,0.79,0.27,4.96,0.37,2.05,0.83,0.33,0.8,10.159999999999997,5.0,10.159999999999997,0.27,0.23999999999999994,-1.0699999999999998,0.8235294117647058,0.7142857142857143,0.10924369747899154
2227,93d5452726f5f364,win,Sergey Morozov,Khalid Taha,0.0,0.0,50.0,33.0,6.0,0.0,0.0,0.0,Bantamweight,U-DEC,3,300,40389d39a92f5bfa,19.0,5.0,167.64,61.23,170.18,Orthodox,34.0,3.01,0.43,2.97,0.61,3.63,0.31,0.68,0.0,13.0,5.0,165.1,61.23,175.26,Orthodox,32.0,2.64,0.32,4.12,0.46,0.0,0.0,0.61,0.2,-5.079999999999984,2.0,2.539999999999992,0.10999999999999999,0.07000000000000006,3.63,0.7916666666666666,0.7222222222222222,0.06944444444444442
2228,49876b12d440af40,win,Malcolm Gordon,Francisco Figueiredo,0.0,0.0,46.0,28.0,2.0,2.0,0.0,0.0,Flyweight,U-DEC,3,300,40389d39a92f5bfa,14.0,8.0,170.18,56.7,180.34,Switch,33.0,2.5,0.45,2.0,0.43,1.72,0.35,0.26,1.0,13.0,5.0,167.64,56.7,172.72,Southpaw,34.0,2.04,0.61,2.59,0.61,2.51,0.75,0.76,0.4,7.6200000000000045,-1.0,2.5400000000000205,-0.15999999999999998,-0.5,-0.7899999999999998,0.6363636363636364,0.7222222222222222,-0.08585858585858586
2229,7d0874323bd1f768,ncnc,Alan Baudot,Rodrigo Nascimento,0.0,0.0,60.0,49.0,0.0,0.0,0.0,0.0,Heavyweight,Overturned Punches,2,89,40389d39a92f5bfa,8.0,3.0,190.5,110.22,200.66,Orthodox,36.0,5.36,0.58,4.82,0.46,0.0,0.0,0.62,0.0,11.0,1.0,187.96,111.58,203.2,Orthodox,31.0,4.31,0.48,4.76,0.43,1.2,0.33,0.77,0.7,-2.539999999999992,5.0,2.539999999999992,0.09999999999999998,-0.15000000000000002,-1.2,0.7272727272727273,0.9166666666666666,-0.18939393939393934
2230,7d0ce28ce8a77eb1,win,Dustin Poirier,Conor McGregor,0.0,0.0,36.0,27.0,1.0,0.0,0.0,1.0,Lightweight,KO/TKO,1,300,8a0be41c0380188d,30.0,8.0,175.26,70.31,182.88,Southpaw,35.0,5.45,0.51,4.36,0.53,1.33,0.36,0.63,1.4,22.0,6.0,175.26,70.31,187.96,Southpaw,35.0,5.32,0.49,4.66,0.54,0.67,0.55,0.66,0.1,-5.0800000000000125,0.0,0.0,0.020000000000000018,-0.030000000000000027,0.66,0.7894736842105263,0.7857142857142857,0.003759398496240629
2231,8245791a3d3403c6,win,Gilbert Burns,Stephen Thompson,0.0,0.0,29.0,19.0,3.0,0.0,0.0,0.0,Welterweight,U-DEC,3,300,8a0be41c0380188d,22.0,7.0,177.8,77.11,180.34,Orthodox,37.0,3.29,0.48,3.42,0.54,2.24,0.38,0.5,0.5,17.0,7.0,182.88,77.11,190.5,Orthodox,41.0,4.11,0.46,3.03,0.54,0.26,0.41,0.65,0.0,-10.159999999999997,-4.0,-5.079999999999984,0.019999999999999962,-0.15000000000000002,1.9800000000000002,0.7586206896551724,0.7083333333333334,0.050287356321839005
2232,53b480b44b0b51f1,win,Tai Tuivasa,Greg Hardy,1.0,0.0,11.0,6.0,0.0,0.0,0.0,0.0,Heavyweight,KO/TKO Punch,1,67,8a0be41c0380188d,15.0,7.0,187.96,119.75,190.5,Southpaw,31.0,3.96,0.49,5.05,0.43,0.0,0.0,0.57,0.0,7.0,5.0,195.58,120.2,203.2,Orthodox,35.0,4.79,0.5,3.31,0.55,0.2,0.33,0.64,0.0,-12.699999999999989,-4.0,-7.6200000000000045,-0.010000000000000009,-0.07000000000000006,-0.2,0.6818181818181818,0.5833333333333334,0.0984848484848484
2233,3740c8033e31c90d,win,Irene Aldana,Yana Santos,1.0,0.0,37.0,24.0,0.0,0.0,0.0,0.0,Women's Bantamweight,KO/TKO Punches,1,275,8a0be41c0380188d,15.0,7.0,175.26,61.23,172.72,Orthodox,36.0,5.24,0.4,6.33,0.57,0.16,0.5,0.76,0.2,14.0,8.0,167.64,61.23,172.72,Orthodox,34.0,4.16,0.56,3.03,0.5,1.11,0.53,0.42,0.1,0.0,2.0,7.6200000000000045,-0.16000000000000003,0.34,-0.9500000000000001,0.6818181818181818,0.6363636363636364,0.045454545454545414
2234,dbcc5b5d568efa8b,win,Sean O'Malley,Kris Moutinho,1.0,0.0,230.0,70.0,0.0,0.0,0.0,0.0,Bantamweight,KO/TKO Punches,3,273,8a0be41c0380188d,18.0,1.0,180.34,61.23,182.88,Switch,29.0,7.63,0.61,3.52,0.62,0.35,0.42,0.62,0.3,9.0,6.0,170.18,61.23,172.72,Southpaw,31.0,4.86,0.32,15.48,0.28,0.0,0.0,0.0,0.0,10.159999999999997,-2.0,10.159999999999997,0.29,0.62,0.35,0.9473684210526315,0.6,0.34736842105263155
2235,7070abfa26c079b8,win,Max Griffin,Carlos Condit,1.0,0.0,93.0,63.0,1.0,0.0,0.0,0.0,Welterweight,U-DEC,3,300,8a0be41c0380188d,20.0,10.0,180.34,77.11,193.04,Orthodox,38.0,3.92,0.49,3.81,0.57,1.45,0.41,0.68,0.3,32.0,14.0,187.96,77.11,190.5,Orthodox,39.0,3.66,0.39,2.67,0.55,0.59,0.46,0.38,1.0,2.539999999999992,-1.0,-7.6200000000000045,0.09999999999999998,0.30000000000000004,0.86,0.6666666666666666,0.6956521739130435,-0.02898550724637683
2236,96bbb6c573dac27a,win,Michel Pereira,Niko Price,0.0,0.0,92.0,76.0,3.0,0.0,2.0,1.0,Welterweight,U-DEC,3,300,8a0be41c0380188d,30.0,11.0,185.42,83.91,185.42,Orthodox,30.0,5.15,0.54,3.71,0.58,1.55,0.55,0.94,0.7,15.0,7.0,182.88,77.11,193.04,Orthodox,34.0,5.46,0.42,5.6,0.48,0.7,0.2,0.64,0.7,-7.6200000000000045,-4.0,2.539999999999992,0.12000000000000005,0.29999999999999993,0.8500000000000001,0.7317073170731707,0.6818181818181818,0.04988913525498895
2237,07468b6347ac5e3d,win,Ilia Topuria,Ryan Hall,0.0,0.0,18.0,10.0,0.0,0.0,0.0,0.0,Featherweight,KO/TKO Punches,1,287,8a0be41c0380188d,15.0,0.0,170.18,65.77,175.26,Orthodox,27.0,4.4,0.46,3.35,0.65,1.92,0.56,0.92,1.3,9.0,2.0,177.8,65.77,177.8,Southpaw,39.0,2.38,0.5,1.33,0.65,0.22,0.09,0.0,2.2,-2.5400000000000205,-12.0,-7.6200000000000045,-0.03999999999999998,0.92,1.7,1.0,0.8181818181818182,0.18181818181818177
2238,858feabaf429a963,win,Dricus Du Plessis,Trevin Giles,1.0,0.0,25.0,10.0,2.0,0.0,0.0,0.0,Middleweight,KO/TKO Punch,2,101,8a0be41c0380188d,21.0,2.0,185.42,83.91,193.04,Switch,30.0,6.49,0.5,4.77,0.55,3.0,0.51,0.4,0.8,16.0,6.0,182.88,77.11,187.96,Orthodox,31.0,3.27,0.55,2.22,0.58,1.19,0.5,0.71,0.3,5.079999999999984,-1.0,2.539999999999992,-0.050000000000000044,-0.30999999999999994,1.81,0.9130434782608695,0.7272727272727273,0.18577075098814222
2239,5d5bf07dbfada0e3,win,Jennifer Maia,Jessica Eye,0.0,0.0,98.0,100.0,0.0,2.0,0.0,0.0,Women's Flyweight,U-DEC,3,300,8a0be41c0380188d,21.0,10.0,162.56,56.7,162.56,Orthodox,35.0,4.35,0.38,4.52,0.55,0.42,0.27,0.58,0.1,15.0,11.0,167.64,56.7,167.64,Orthodox,37.0,3.86,0.37,4.19,0.55,0.58,0.4,0.57,0.5,-5.079999999999984,-2.0,-5.079999999999984,0.010000000000000009,0.010000000000000009,-0.15999999999999998,0.6774193548387096,0.5769230769230769,0.10049627791563276
2240,1aba46988c9b58f9,win,Brad Tavares,Omari Akhmedov,1.0,0.0,84.0,48.0,0.0,2.0,0.0,0.0,Middleweight,S-DEC,3,300,8a0be41c0380188d,20.0,10.0,185.42,83.91,187.96,Orthodox,36.0,3.38,0.43,3.15,0.55,0.78,0.26,0.81,0.0,21.0,6.0,182.88,83.91,185.42,Orthodox,36.0,2.97,0.34,2.84,0.55,2.58,0.45,0.65,0.2,2.5400000000000205,0.0,2.539999999999992,0.08999999999999997,0.16000000000000003,-1.8,0.6666666666666666,0.7777777777777778,-0.11111111111111116
2241,ac0a1d87e9ff4085,win,Zhalgas Zhumagulov,Jerome Rivera,0.0,0.0,10.0,11.0,0.0,0.0,1.0,0.0,Flyweight,SUB Guillotine Choke,1,122,8a0be41c0380188d,14.0,9.0,162.56,56.7,167.64,Switch,35.0,5.24,0.43,5.86,0.52,1.3,0.19,0.75,0.2,10.0,6.0,177.8,56.7,182.88,Southpaw,28.0,3.21,0.33,2.6,0.51,0.0,0.0,0.4,0.0,-15.240000000000009,7.0,-15.240000000000009,0.09999999999999998,0.35,1.3,0.6086956521739131,0.625,-0.016304347826086918
2242,78afed76d0e9a639,win,Ciryl Gane,Alexander Volkov,0.0,0.0,135.0,115.0,0.0,0.0,0.0,0.0,Heavyweight,U-DEC,5,300,a1d6b308781aa2f5,12.0,2.0,193.04,111.13,205.74,Orthodox,33.0,5.49,0.6,2.19,0.63,0.58,0.21,0.5,0.5,37.0,10.0,200.66,113.4,203.2,Orthodox,35.0,5.1,0.57,3.0,0.54,0.49,0.63,0.73,0.2,2.5400000000000205,-2.0,-7.6200000000000045,0.030000000000000027,-0.22999999999999998,0.08999999999999997,0.8571428571428571,0.7872340425531915,0.06990881458966558
2243,d40eae4425092219,win,Tanner Boser,Ovince Saint Preux,1.0,0.0,33.0,9.0,0.0,1.0,0.0,0.0,Heavyweight,KO/TKO Punch,2,151,a1d6b308781aa2f5,21.0,10.0,187.96,92.99,190.5,Orthodox,32.0,4.7,0.52,2.75,0.58,0.0,0.0,0.63,0.0,27.0,17.0,190.5,92.99,203.2,Southpaw,40.0,3.03,0.47,3.32,0.47,1.1,0.36,0.67,0.5,-12.699999999999989,-8.0,-2.539999999999992,0.050000000000000044,-0.040000000000000036,-1.1,0.6774193548387096,0.6136363636363636,0.06378299120234598
2244,ce0fda34122f3d48,win,Timur Valiev,Raoni Barcelos,0.0,2.0,77.0,69.0,0.0,0.0,0.0,0.0,Bantamweight,M-DEC,3,300,a1d6b308781aa2f5,18.0,3.0,167.64,61.23,170.18,Orthodox,34.0,5.19,0.53,3.33,0.45,1.73,0.4,0.55,0.3,18.0,5.0,170.18,61.23,170.18,Orthodox,36.0,5.22,0.51,4.79,0.61,1.86,0.32,0.85,0.6,0.0,-2.0,-2.5400000000000205,0.020000000000000018,-0.29999999999999993,-0.13000000000000012,0.8571428571428571,0.782608695652174,0.07453416149068315
2245,4622ec182e7fed6b,ncnc,Andre Fili,Daniel Pineda,0.0,0.0,34.0,15.0,1.0,0.0,0.0,0.0,Featherweight,CNC,2,46,a1d6b308781aa2f5,23.0,11.0,180.34,65.77,187.96,Orthodox,33.0,3.85,0.37,4.11,0.51,2.16,0.47,0.69,0.3,28.0,15.0,170.18,65.77,175.26,Orthodox,38.0,3.09,0.49,3.18,0.46,1.71,0.25,0.48,1.7,12.700000000000017,-5.0,10.159999999999997,-0.12,0.20999999999999996,0.4500000000000002,0.6764705882352942,0.6511627906976745,0.025307797537619692
